GSS_CD,GSS_NM,TotalCases
E09000002,Barking and Dagenham,   21
E09000003,Barnet,   76
E08000016,Barnsley,    7
E06000022,Bath and North East Somerset,    5
E06000055,Bedford,    1
E09000004,Bexley,   31
E08000025,Birmingham,   54
E06000008,Blackburn with Darwen,    1
E06000009,Blackpool,    5
E08000001,Bolton,   13
E06000058,"Bournemouth, Christchurch and Poole",   10
E06000036,Bracknell Forest,    3
E08000032,Bradford,    9
E09000005,Brent,   75
E06000043,Brighton and Hove,   14
E06000023,"Bristol, City of",   13
E09000006,Bromley,   52
E10000002,Buckinghamshire,   39
E08000002,Bury,   10
E08000033,Calderdale,    5
E10000003,Cambridgeshire,   16
E09000007,Camden,   46
E06000056,Central Bedfordshire,    8
E06000049,Cheshire East,    9
E06000050,Cheshire West and Chester,   10
E06000052,Cornwall and Isles of Scilly,   16
E06000047,County Durham,    7
E08000026,Coventry,    7
E09000008,Croydon,   68
E10000006,Cumbria,   52
E06000005,Darlington,    2
E06000015,Derby,   12
E10000007,Derbyshire,   50
E10000008,Devon,   30
E08000017,Doncaster,    3
E06000059,Dorset,    7
E08000027,Dudley,   18
E09000009,Ealing,   54
E06000011,East Riding of Yorkshire,   15
E10000011,East Sussex,    8
E09000010,Enfield,   48
E10000012,Essex,   43
E08000037,Gateshead,    1
E10000013,Gloucestershire,   22
E09000011,Greenwich,   41
E09000012,Hackney and City of London,   45
E06000006,Halton,    5
E09000013,Hammersmith and Fulham,   36
E10000014,Hampshire,  107
E09000014,Haringey,   44
E09000015,Harrow,   60
E06000001,Hartlepool,    2
E09000016,Havering,   19
E06000019,"Herefordshire, County of",    3
E10000015,Hertfordshire,   61
E09000017,Hillingdon,   34
E09000018,Hounslow,   38
E06000046,Isle of Wight,    2
E09000019,Islington,   45
E09000020,Kensington and Chelsea,   66
E10000016,Kent,   32
E06000010,"Kingston upon Hull, City of",    1
E09000021,Kingston upon Thames,   17
E08000034,Kirklees,    6
E08000011,Knowsley,    3
E09000022,Lambeth,  103
E10000017,Lancashire,   26
E08000035,Leeds,   17
E06000016,Leicester,   11
E10000018,Leicestershire,   20
E09000023,Lewisham,   47
E10000019,Lincolnshire,    9
E08000012,Liverpool,   14
E06000032,Luton,    4
E08000003,Manchester,   26
E06000035,Medway,   11
E09000024,Merton,   45
E06000002,Middlesbrough,    1
E06000042,Milton Keynes,    7
E08000021,Newcastle upon Tyne,   21
E09000025,Newham,   42
E10000020,Norfolk,   17
E06000012,North East Lincolnshire,    0
E06000013,North Lincolnshire,    1
E06000024,North Somerset,    4
E08000022,North Tyneside,   12
E10000023,North Yorkshire,   14
E10000021,Northamptonshire,   17
E06000057,Northumberland,    7
E06000018,Nottingham,   22
E10000024,Nottinghamshire,   41
E08000004,Oldham,   14
E10000025,Oxfordshire,   40
E06000031,Peterborough,    2
E06000026,Plymouth,    7
E06000044,Portsmouth,   13
E06000038,Reading,    7
E09000026,Redbridge,   27
E06000003,Redcar and Cleveland,    2
E09000027,Richmond upon Thames,   16
E08000005,Rochdale,   12
E08000018,Rotherham,    4
E06000017,Rutland,    0
E08000006,Salford,   10
E08000028,Sandwell,   11
E08000014,Sefton,    7
E08000019,Sheffield,   48
E06000051,Shropshire,    3
E06000039,Slough,   20
E08000029,Solihull,    3
E10000027,Somerset,   10
E06000025,South Gloucestershire,   13
E08000023,South Tyneside,    2
E06000045,Southampton,    7
E06000033,Southend-on-Sea,    5
E09000028,Southwark,  110
E08000013,St. Helens,    2
E10000028,Staffordshire,   25
E08000007,Stockport,   21
E06000004,Stockton-on-Tees,    9
E06000021,Stoke-on-Trent,    2
E10000029,Suffolk,   13
E08000024,Sunderland,    5
E10000030,Surrey,   57
E09000029,Sutton,   19
E06000030,Swindon,    5
E08000008,Tameside,   19
E06000020,Telford and Wrekin,    0
E06000034,Thurrock,    6
E06000027,Torbay,   10
E09000030,Tower Hamlets,   43
E08000009,Trafford,   15
E08000036,Wakefield,    6
E08000030,Walsall,   20
E09000031,Waltham Forest,   23
E09000032,Wandsworth,   98
E06000007,Warrington,    4
E10000031,Warwickshire,   13
E06000037,West Berkshire,    6
E10000032,West Sussex,   19
E09000033,Westminster,   99
E08000010,Wigan,    6
E06000054,Wiltshire,   17
E06000040,Windsor and Maidenhead,   13
E08000015,Wirral,    9
E06000041,Wokingham,   12
E08000031,Wolverhampton,   39
E10000034,Worcestershire,   10
E06000014,York,    6
