OBJECTID_1,OBJECTID,COUNTY,COUNTY_LAB,Field2,Shape__Area,Shape__Length
1,1,ATLANTIC,Atlantic County,3,17023851474.4613,650227.599305267
2,2,BERGEN,Bergen County,195,6686009554.16296,443324.347929857
3,3,BURLINGTON,Burlington County,14,22869023171.602,788903.854872472
4,4,CAMDEN,Camden County,13,6344509876.69253,495006.578775342
5,5,CAPE MAY,Cape May County,1,7976961326.18913,514564.340281693
6,7,ESSEX,Essex County,63,3616983902.62894,344556.35202766
7,8,GLOUCESTER,Gloucester County,3,9372629753.11616,560696.852574102
8,9,HUDSON,Hudson County,55,1436707422.2616,381356.570662874
9,10,HUNTERDON,Hunterdon County,8,12191752747.2279,561755.697692183
10,11,MERCER,Mercer County,20,6378548120.95474,484092.889323168
11,12,MONMOUTH,Monmouth County,43,13539886535.1187,733254.571341134
12,13,OCEAN,Ocean County,33,21129932138.2335,722804.02331507
13,14,PASSAIC,Passaic County,38,5528911617.80997,492850.74933723
14,16,SOMERSET,Somerset County,21,8499713898.79497,541586.643839565
15,17,SUSSEX,Sussex County,2,14929294846.8201,525986.641842362
16,18,UNION,Union County,29,2937613335.40103,321814.207050551
17,19,WARREN,Warren County,3,10108546134.3227,554859.389116752
18,20,MORRIS,Morris County,26,13420104286.1659,750263.075351202
19,21,MIDDLESEX,Middlesex County,64,8836527089.15266,505626.0316389
20,6,CUMBERLAND,Cumberland County,,13989252050.4917,704221.618565244
21,15,SALEM,Salem County,,9677192466.65024,664540.959974652
