ï»¿OBJECTID,NAME,CFIPS,Areakey,Confirmed,Death,Date_,DHEC_Region,Shape__Area_2,Shape__Length_2
1,Abbeville,001,45001,39,0,2020/05/30 12:17:04+00,Upstate,0.129499916188934,1.66712034313117
2,Aiken,003,45003,194,7,2020/05/30 12:17:04+00,Midlands,0.271765510118257,2.44272297361984
3,Allendale,005,45005,34,3,2020/05/30 12:17:04+00,Low Country,0.10280461690445,1.65669112796376
4,Anderson,007,45007,234,8,2020/05/30 12:17:04+00,Upstate,0.192616071454268,2.10614746746882
5,Bamberg,009,45009,22,0,2020/05/30 12:17:04+00,Low Country,0.099043896099829,1.51868820281216
6,Barnwell,011,45011,45,1,2020/05/30 12:17:04+00,Midlands,0.139728560099456,1.66900153588611
7,Beaufort,013,45013,376,14,2020/05/30 12:17:04+00,Low Country,0.182265957012532,2.55723097921961
8,Berkeley,015,45015,230,16,2020/05/30 12:17:04+00,Low Country,0.307571141166363,3.11592300015365
9,Calhoun,017,45017,14,1,2020/05/30 12:17:04+00,Low Country,0.0987600968662719,2.3032616426306
10,Charleston,019,45019,609,12,2020/05/30 12:17:04+00,Low Country,0.25874927649329,4.38148451698836
11,Cherokee,021,45021,34,2,2020/05/30 12:17:04+00,Upstate,0.101671306301114,1.64935262392554
12,Chester,023,45023,74,0,2020/05/30 12:17:04+00,Midlands,0.149332943549098,1.79788648150808
13,Chesterfield,025,45025,180,4,2020/05/30 12:17:04+00,Pee Dee,0.205229179767684,2.24787539302467
14,Clarendon,027,45027,301,39,2020/05/30 12:17:04+00,Pee Dee,0.175143517983997,2.2862639188175
15,Colleton,029,45029,101,11,2020/05/30 12:17:04+00,Low Country,0.268562652370065,3.42989389840536
16,Darlington,031,45031,284,9,2020/05/30 12:17:04+00,Pee Dee,0.143814915880284,2.16182325622913
17,Dillon,033,45033,162,3,2020/05/30 12:17:04+00,Pee Dee,0.103183204236075,1.59514480082885
18,Dorchester,035,45035,164,3,2020/05/30 12:17:04+00,Low Country,0.14424858509301,2.44610646033018
19,Edgefield,037,45037,51,2,2020/05/30 12:17:04+00,Midlands,0.12770644114471,1.66487379676899
20,Fairfield,039,45039,174,15,2020/05/30 12:17:04+00,Midlands,0.180270304186934,1.90795158980498
21,Florence,041,45041,643,38,2020/05/30 12:17:04+00,Pee Dee,0.203171053385631,2.521337758535
22,Georgetown,043,45043,73,3,2020/05/30 12:17:04+00,Pee Dee,0.219299839140604,2.41501353515537
23,Greenville,045,45045,1469,57,2020/05/30 12:17:04+00,Upstate,0.202981922960362,2.76686918198981
24,Greenwood,047,45047,129,1,2020/05/30 12:17:04+00,Upstate,0.117236970969316,1.72594318621569
25,Hampton,049,45049,36,0,2020/05/30 12:17:04+00,Low Country,0.14037865115256,1.96162648758368
26,Horry,051,45051,417,25,2020/05/30 12:17:04+00,Pee Dee,0.2894319546308,2.60063362477043
27,Jasper,053,45053,41,2,2020/05/30 12:17:04+00,Low Country,0.167243009516142,2.66673160416943
28,Kershaw,055,45055,329,14,2020/05/30 12:17:04+00,Midlands,0.187827225582396,2.38966056138889
29,Lancaster,057,45057,130,5,2020/05/30 12:17:04+00,Midlands,0.14145368256095,2.44222986352324
30,Laurens,059,45059,67,4,2020/05/30 12:17:04+00,Upstate,0.184021139077686,2.11855972632536
31,Lee,061,45061,217,16,2020/05/30 12:17:04+00,Pee Dee,0.104115616496983,1.70081795680088
32,Lexington,063,45063,625,33,2020/05/30 12:17:04+00,Midlands,0.191315869496748,2.21307342826812
33,McCormick,065,45065,8,1,2020/05/30 12:17:04+00,Upstate,0.0993930314527915,2.04332874301034
34,Marion,067,45067,68,5,2020/05/30 12:17:04+00,Pee Dee,0.12498457385459,2.44666465654038
35,Marlboro,069,45069,161,0,2020/05/30 12:17:04+00,Pee Dee,0.12353538881257,1.9036924619578
36,Newberry,071,45071,60,1,2020/05/30 12:17:04+00,Midlands,0.164150210149955,2.15971617245002
37,Oconee,073,45073,50,0,2020/05/30 12:17:04+00,Upstate,0.171768271307201,2.15958250457418
38,Orangeburg,075,45075,179,3,2020/05/30 12:17:04+00,Low Country,0.283314274400709,3.33695736103193
39,Pickens,077,45077,140,3,2020/05/30 12:17:04+00,Upstate,0.130722702253024,1.99641059513922
40,Richland,079,45079,1485,66,2020/05/30 12:17:04+00,Midlands,0.19511519035791,2.93285715697429
41,Saluda,081,45081,144,1,2020/05/30 12:17:04+00,Midlands,0.116737708473465,1.56357276232227
42,Spartanburg,083,45083,556,20,2020/05/30 12:17:04+00,Upstate,0.209292250833187,1.99593479195744
43,Sumter,085,45085,378,18,2020/05/30 12:17:04+00,Pee Dee,0.172216023401916,2.6604252247877
44,Union,087,45087,36,0,2020/05/30 12:17:04+00,Upstate,0.131440425109986,1.74423157091152
45,Williamsburg,089,45089,233,14,2020/05/30 12:17:04+00,Pee Dee,0.235778701810432,2.43073370675461
46,York,091,45091,398,7,2020/05/30 12:17:04+00,Midlands,0.177893077830504,2.03934412782197
